Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-03-16 14:00:00,827,3
Bayern,2020-03-16 14:00:00,886,4
Berlin,2020-03-16 14:00:00,265,
Brandenburg,2020-03-16 14:00:00,84,
Bremen,2020-03-16 14:00:00,53,
Hamburg,2020-03-16 14:00:00,162,
Hessen,2020-03-16 14:00:00,286,
Mecklenburg-Vorpommern,2020-03-16 14:00:00,50,
Niedersachsen,2020-03-16 14:00:00,287,
Nordrhein-Westfalen,2020-03-16 14:00:00,1.407,5
Rheinland-Pfalz,2020-03-16 14:00:00,168,
Saarland,2020-03-16 14:00:00,32,
Sachsen,2020-03-16 14:00:00,130,
Sachsen-Anhalt,2020-03-16 14:00:00,47,
Schleswig-Holstein,2020-03-16 14:00:00,103,
Thüringen,2020-03-16 14:00:00,51,
Gesamt,2020-03-16 14:00:00,4.838,12
