,Bundesland,confirmed,confirmed_el,extra,date
0,Baden-Württemberg,569 (2),506 (2),,2020-03-15 14:00:00
1,Bayern,681 (1),605 (1),,2020-03-15 14:00:00
2,Berlin,216,216,,2020-03-15 14:00:00
3,Brandenburg,61,57,,2020-03-15 14:00:00
4,Bremen,50,50,,2020-03-15 14:00:00
5,Hamburg,158,119,,2020-03-15 14:00:00
6,Hessen,203,141,,2020-03-15 14:00:00
7,Mecklenburg-Vorpommern,45,23,,2020-03-15 14:00:00
8,Niedersachsen,253,187,,2020-03-15 14:00:00
9,Nordrhein-Westfalen,1.154 (5),1.154 (5),Landkreis Heinsberg,2020-03-15 14:00:00
10,Rheinland-Pfalz,121,121,,2020-03-15 14:00:00
11,Saarland,40,31,,2020-03-15 14:00:00
12,Sachsen,93,86,,2020-03-15 14:00:00
13,Sachsen-Anhalt,45,40,,2020-03-15 14:00:00
14,Schleswig-Holstein,60,54,,2020-03-15 14:00:00
15,Thüringen,46,31,,2020-03-15 14:00:00
16,Gesamt,3.795 (8),3.421 (8),,2020-03-15 14:00:00
